,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,BORGEOUS, All That I Need,unknown,0.00605,https://api.spotify.com/v1/audio-analysis/48tVZcYrKuZ3KgWd53gPgY,3A,0.605,185806.0,0.943,48tVZcYrKuZ3KgWd53gPgY,0.804,10.0,0.0606,-1.8,0.0,0.0425,154.992,4.0,https://api.spotify.com/v1/tracks/48tVZcYrKuZ3KgWd53gPgY,audio_features,spotify:track:48tVZcYrKuZ3KgWd53gPgY,0.494
1,BORGEOUS, Invincible,unknown,0.00568,https://api.spotify.com/v1/audio-analysis/3jgo8iiV4GoyuzKw9dJu9j,11A,0.649,282041.0,0.784,3jgo8iiV4GoyuzKw9dJu9j,0.000474,6.0,0.0878,-4.266,0.0,0.0325,127.985,4.0,https://api.spotify.com/v1/tracks/3jgo8iiV4GoyuzKw9dJu9j,audio_features,spotify:track:3jgo8iiV4GoyuzKw9dJu9j,0.289
2,w/ Jay Cosmic, Ascend,unknown,0.0067,https://api.spotify.com/v1/audio-analysis/2CCdYb3KtV47J2CHYIXhW1,11A,0.431,272033.0,0.953,2CCdYb3KtV47J2CHYIXhW1,0.787,6.0,0.112,-5.97,0.0,0.16,149.927,4.0,https://api.spotify.com/v1/tracks/2CCdYb3KtV47J2CHYIXhW1,audio_features,spotify:track:2CCdYb3KtV47J2CHYIXhW1,0.037
3,Gammer, The Drop,unknown,0.00664,https://api.spotify.com/v1/audio-analysis/4qHV3TIuG6gLgJpFJD2ZTq,11B,0.565,232158.0,0.988,4qHV3TIuG6gLgJpFJD2ZTq,0.0508,9.0,0.0935,-1.448,1.0,0.145,150.05,4.0,https://api.spotify.com/v1/tracks/4qHV3TIuG6gLgJpFJD2ZTq,audio_features,spotify:track:4qHV3TIuG6gLgJpFJD2ZTq,0.0316
4,Papa Roach, Last Resort ,KAYZO Remix,0.000504,https://api.spotify.com/v1/audio-analysis/5eek2X5459T1HoYJk2CKXv,9A,0.581,199893.0,0.887,5eek2X5459T1HoYJk2CKXv,0.00111,4.0,0.268,-3.659,0.0,0.0624,90.578,4.0,https://api.spotify.com/v1/tracks/5eek2X5459T1HoYJk2CKXv,audio_features,spotify:track:5eek2X5459T1HoYJk2CKXv,0.724
5,Papa Roach   Cesqueax   Linkin Park   KAYZO   Gammer   Snails HeRobust, Last Resort Home In The End Frequency Pump This ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
6,BORGEOUS   Riggi Piros   Lil Jon, Savage ,Trampa Remix,0.00099,https://api.spotify.com/v1/audio-analysis/3CNI3RfUkT27USpZn7qDL5,3A,0.548,217984.0,0.997,3CNI3RfUkT27USpZn7qDL5,0.013,10.0,0.136,-3.295,0.0,0.276,145.052,4.0,https://api.spotify.com/v1/tracks/3CNI3RfUkT27USpZn7qDL5,audio_features,spotify:track:3CNI3RfUkT27USpZn7qDL5,0.133
7,KAYZO SLANDER   Micah Martin, Holy,unknown,0.0133,https://api.spotify.com/v1/audio-analysis/4KchraCMLiNKr9WdX3bQaD,1B,0.258,230400.0,0.952,4KchraCMLiNKr9WdX3bQaD,0.00705,11.0,0.126,-3.389,1.0,0.229,150.035,4.0,https://api.spotify.com/v1/tracks/4KchraCMLiNKr9WdX3bQaD,audio_features,spotify:track:4KchraCMLiNKr9WdX3bQaD,0.229
8,Armin van Buuren   Vini Vici   Hilight Tribe, Great Spirit ,Wildstylez Remix,0.00351,https://api.spotify.com/v1/audio-analysis/5DOL2R736GPvEL6yE05n4R,10A,0.276,236000.0,0.942,5DOL2R736GPvEL6yE05n4R,0.0511,11.0,0.454,-5.882,0.0,0.172,149.982,4.0,https://api.spotify.com/v1/tracks/5DOL2R736GPvEL6yE05n4R,audio_features,spotify:track:5DOL2R736GPvEL6yE05n4R,0.0509
9,Marshmello Anne,Marie ,BORGEOUS Remix,0.876,https://api.spotify.com/v1/audio-analysis/0X0RkQ5zRBte48w0wYVMG9,4A,0.371,245493.0,0.19,0X0RkQ5zRBte48w0wYVMG9,0.0,5.0,0.104,-10.738,0.0,0.0474,171.093,5.0,https://api.spotify.com/v1/tracks/0X0RkQ5zRBte48w0wYVMG9,audio_features,spotify:track:0X0RkQ5zRBte48w0wYVMG9,0.522
10,w/ Boombox Cartel, Beibs In The Moon,unknown,,,,,,,,,,,,,,,,,,,
11,Spag Heddy   Micah Martin, Dream & Disaster ,TYNAN Remix,0.0304,https://api.spotify.com/v1/audio-analysis/2mAK8mw6j8heX17E98sLRB,10B,0.603,246400.0,0.992,2mAK8mw6j8heX17E98sLRB,0.0276,2.0,0.325,-0.963,1.0,0.0836,149.955,4.0,https://api.spotify.com/v1/tracks/2mAK8mw6j8heX17E98sLRB,audio_features,spotify:track:2mAK8mw6j8heX17E98sLRB,0.44
12,Travis Scott   Kendrick Lamar NGHTMRE   Zomboy Ft. O.V Eptic Trampa, Goosebumps ,Benzi Edit,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,9B,0.841,243837.0,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
13,TYNAN DISTO, Rover,unknown,0.0734,https://api.spotify.com/v1/audio-analysis/3PGs6DJ2Q7vZKuRttg30Ww,6A,0.677,218508.0,0.992,3PGs6DJ2Q7vZKuRttg30Ww,0.243,7.0,0.223,-2.614,0.0,0.246,150.006,4.0,https://api.spotify.com/v1/tracks/3PGs6DJ2Q7vZKuRttg30Ww,audio_features,spotify:track:3PGs6DJ2Q7vZKuRttg30Ww,0.343
14,BORGEOUS Dzeko Torres, Tutankhamun ,AudioKiller Dark Bootleg,8.75e-05,https://api.spotify.com/v1/audio-analysis/5G704aGDpvefJ6whgkmeR0,10A,0.648,203438.0,0.891,5G704aGDpvefJ6whgkmeR0,0.497,11.0,0.105,-3.464,0.0,0.0655,128.002,4.0,https://api.spotify.com/v1/tracks/5G704aGDpvefJ6whgkmeR0,audio_features,spotify:track:5G704aGDpvefJ6whgkmeR0,0.183
15,BORGEOUS Jay Cosmic   Ragga Twins, Spitfire,unknown,0.00227,https://api.spotify.com/v1/audio-analysis/3Pk9pWstnDqK7AEoTwg2KM,1B,0.53,194846.0,0.922,3Pk9pWstnDqK7AEoTwg2KM,0.000158,11.0,0.109,-2.201,1.0,0.0647,169.974,4.0,https://api.spotify.com/v1/tracks/3Pk9pWstnDqK7AEoTwg2KM,audio_features,spotify:track:3Pk9pWstnDqK7AEoTwg2KM,0.0971
16,Borgeous Loud Luxury   Porter Robinson   Bare MERCER, Going Under Language Bangla ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
17,Jay Z Kanye West   Showtek Justin Prime   Lookas, Ni**as In Paris Canonball Can't Get Enough ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
18,Third Eye Blind   HeRobust   YOOKiE, Semi,BORGEOUS Edit,0.00832,https://api.spotify.com/v1/audio-analysis/42et6fnHCw1HIPSrdPprMl,9B,0.64,268360.0,0.864,42et6fnHCw1HIPSrdPprMl,0.0,7.0,0.123,-6.576,1.0,0.0315,102.026,4.0,https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl,audio_features,spotify:track:42et6fnHCw1HIPSrdPprMl,0.7
19,Blink 182   Barely Alive   Maddix KEVU, All The Small Things CA$H Bang ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
20,Fall Out Boy   SLANDER NGHTMRE   Barely Alive   KAYZO, Sugar We're Goin' Down Gud Vibrations Kickin It Kill It ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
21,MadeinTYO   Future   Zomboy, Skateboard P F*ck Up Some Commas Biterz ,BORGEOUS Edit,,,,,,,,,,,,,,,,,,,
