,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Ørjan Nilsen, ID,unknown,,,,,,,,,,,,,,,,,,,
1,Ørjan Nilsen, Violetta ,Exis Remix,0.00142,https://api.spotify.com/v1/audio-analysis/5E1nN8mP9qX4wtlGL0mPW6,6A,0.598,153754.0,0.921,5E1nN8mP9qX4wtlGL0mPW6,0.812,7.0,0.0993,-4.776,0.0,0.0383,127.932,4.0,https://api.spotify.com/v1/tracks/5E1nN8mP9qX4wtlGL0mPW6,audio_features,spotify:track:5E1nN8mP9qX4wtlGL0mPW6,0.12
2,Cosmic Gate JES, Fall Into You,unknown,0.0692,https://api.spotify.com/v1/audio-analysis/3bAVKXu6RouQXlnRfuvfLC,1A,0.486,208154.0,0.632,3bAVKXu6RouQXlnRfuvfLC,0.000278,8.0,0.0857,-6.509,0.0,0.0849,127.814,4.0,https://api.spotify.com/v1/tracks/3bAVKXu6RouQXlnRfuvfLC,audio_features,spotify:track:3bAVKXu6RouQXlnRfuvfLC,0.23
3,Promise Land   Wolfpack Warp Brothers, X,Ørjan Nilsen Mashup,0.00579,https://api.spotify.com/v1/audio-analysis/2Vqnt7VDPCElJ3VoY6GQ05,12A,0.355,153750.0,0.977,2Vqnt7VDPCElJ3VoY6GQ05,0.0529,1.0,0.383,-3.635,0.0,0.121,113.099,4.0,https://api.spotify.com/v1/tracks/2Vqnt7VDPCElJ3VoY6GQ05,audio_features,spotify:track:2Vqnt7VDPCElJ3VoY6GQ05,0.392
4,Armin van Buuren Ørjan Nilsen, Flashlight,unknown,0.000866,https://api.spotify.com/v1/audio-analysis/2l7ezX1Z0Xw3PC6R1goqAJ,11A,0.483,186508.0,0.928,2l7ezX1Z0Xw3PC6R1goqAJ,0.767,6.0,0.199,-5.121,0.0,0.0491,128.006,4.0,https://api.spotify.com/v1/tracks/2l7ezX1Z0Xw3PC6R1goqAJ,audio_features,spotify:track:2l7ezX1Z0Xw3PC6R1goqAJ,0.689
5,Ørjan Nilsen   KhoMha, Los Capos,unknown,0.00229,https://api.spotify.com/v1/audio-analysis/1lDaAk02vB1KItXMQjG45F,6A,0.505,184500.0,0.911,1lDaAk02vB1KItXMQjG45F,0.889,7.0,0.118,-5.149,0.0,0.0419,131.001,4.0,https://api.spotify.com/v1/tracks/1lDaAk02vB1KItXMQjG45F,audio_features,spotify:track:1lDaAk02vB1KItXMQjG45F,0.205
6,Ørjan Nilsen, Iconic,unknown,0.0416,https://api.spotify.com/v1/audio-analysis/2rMjGOTjJZrhiQNWeuLpO3,6A,0.571,232500.0,0.887,2rMjGOTjJZrhiQNWeuLpO3,0.1,7.0,0.0644,-3.919,0.0,0.105,128.003,4.0,https://api.spotify.com/v1/tracks/2rMjGOTjJZrhiQNWeuLpO3,audio_features,spotify:track:2rMjGOTjJZrhiQNWeuLpO3,0.209
7,Orjan Nilsen Jochen Miller, Renegades,unknown,0.00443,https://api.spotify.com/v1/audio-analysis/4K3TfBSibSpC8qbVWrc9iE,8B,0.657,142250.0,0.974,4K3TfBSibSpC8qbVWrc9iE,0.0311,0.0,0.304,-5.633,1.0,0.114,128.014,4.0,https://api.spotify.com/v1/tracks/4K3TfBSibSpC8qbVWrc9iE,audio_features,spotify:track:4K3TfBSibSpC8qbVWrc9iE,0.109
8,Tiësto   Kirsty Hawkshaw, Just Be ,Ørjan Nilsen Remix,3.05e-05,https://api.spotify.com/v1/audio-analysis/2AnEHhSLWVJJMSQECOcyyx,8A,0.62,524933.0,0.832,2AnEHhSLWVJJMSQECOcyyx,0.438,9.0,0.128,-9.651,0.0,0.0335,134.959,4.0,https://api.spotify.com/v1/tracks/2AnEHhSLWVJJMSQECOcyyx,audio_features,spotify:track:2AnEHhSLWVJJMSQECOcyyx,0.39
9,The Drill, The Drill ,2015 Original,0.000872,https://api.spotify.com/v1/audio-analysis/6vZ52cmur3BGdBNQ8Mn0D0,8A,0.771,337500.0,0.845,6vZ52cmur3BGdBNQ8Mn0D0,0.887,9.0,0.397,-4.454,0.0,0.0354,128.028,4.0,https://api.spotify.com/v1/tracks/6vZ52cmur3BGdBNQ8Mn0D0,audio_features,spotify:track:6vZ52cmur3BGdBNQ8Mn0D0,0.037
